drug_name;ap_name;expiration_date;realization
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;20
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №83 г.Ст.Дороги от ЦМА № 80 г.Слуцк;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №206 от ЦМА №80 г.Слуцк;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №325 от ЦМА №80 г.Слуцк;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;14
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №293 от ЦРА №7 Столбцовского района;31.03.2024;13
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №9 от ЦРА №7 Столбцовского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;12
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №330 от ЦРА №21 Узденского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №21 Узденского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №20 Червенского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Прочие;;0
Амброгексал сироп 15мг/5мл 100мл флакон №1;;;357
Амброгексал сироп 15мг/5мл 100мл флакон №1;"Аптеки РУП ""Минскфармация""";;357
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;25
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №272 от ЦРА №16 Борисовского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №321 от ЦРА №16 Борисовского района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №137 от ЦРА №16 Борисовского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №167 от ЦРА №16 Борисовского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №172 от ЦРА №16 Борисовского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №16 Борисовского района;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №263 от ЦРА №16 Борисовского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;16
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №191 от ЦРА № 118 Вилейского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №119 от ЦРА № 118 Вилейского р-на;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №118 Вилейского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №219 от ЦРА № 118 Вилейского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;11
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №318 от ЦРА № 123 Воложинского района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №127 от ЦРА №123 Воложинского района;31.10.2024;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №124 от ЦРА №123 Воложинского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;38
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №62 от ЦРА №218 Дзержинского р-на;31.10.2024;11
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №62 от ЦРА №218 Дзержинского р-на;31.03.2025;7
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №69 от ЦРА №218 Дзержинского района;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №218 Дзержинского района;31.10.2024;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №213 от ЦРА №218 Дзержинского района;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;11
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №189 от ЦГА №192 г.Жодино;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №209 от ЦГА № 192 г.Жодино;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №117 от ЦГА №192 г. Жодино;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №117 от ЦГА №192 г. Жодино;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;13
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №51 от ЦРА №1 Клецкого района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №1 Клецкого района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №2 от ЦРА №1 Клецкого района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №5 от ЦРА №1 Клецкого района;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №97 Копыльского района;31.03.2025;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;25
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №64 от ЦРА №28 Крупского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №28 Крупского района;31.03.2025;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №67 от ЦРА №28 Крупского района;31.03.2025;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;6
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №26 от ЦРА №24 Логойского района;31.03.2025;6
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №90 Любанского района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №81 от ЦРА №90 Любанского р-на;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;67
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №98 от ЦРА № 182 Минского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №306 от ЦРА № 182 Минского района;31.03.2025;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №182 Минского района;31.10.2024;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №182 Минского района;31.03.2025;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №153  от ЦРА № 182 Минского р-на;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №22 от ЦРА № 182 Минского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №34 от ЦРА № 182 Минского района;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №44 от ЦРА № 182 Минского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №99 от ЦРА №182 Минского района;31.10.2024;10
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №212 от ЦРА № 182 Минского р-на;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №139 от ЦРА №182 Минского района;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №141 от ЦРА №182 Минского района;31.10.2024;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №156 от ЦРА № 182 Минского р-на;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;24
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №179 от ЦРА № 198 Молодечненского р-на;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №198 Молодечненского района;31.03.2025;4
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №111 от ЦРА № 198 Молодечненского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №180 от ЦРА № 198 Молодечненского р-на;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №110 от ЦРА № 198 Молодечненского р-на;31.10.2024;4
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №216 от ЦРА № 198 Молодечненского р-на;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;14
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №147 от ЦРА №131 Мядельского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №131 Мядельского района;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №135 ЦРА №131 Мядельского района;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №11 от ЦРА №131 Мядельского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №132 от ЦРА №131 Мядельского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №133 от ЦРА №131 Мядельского района;31.10.2024;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №133 от ЦРА №131 Мядельского района;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №232 ЦРА № 131 Мядельского района;31.03.2025;1
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №286 от ЦРА №131 Мядельского р-на;31.10.2024;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;13
Амброгексал сироп 15мг/5мл 100мл флакон №1;ЦРА №4 Несвижского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №140 от ЦРА №4 Несвижского р-на;31.03.2025;3
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №277 от ЦРА №4 Несвижского района;31.03.2025;5
Амброгексал сироп 15мг/5мл 100мл флакон №1;#ИМЯ?;;9
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №239 от ЦРА №25 Пуховичского района;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №32 от ЦРА №25 Пуховичского района;31.03.2025;2
Амброгексал сироп 15мг/5мл 100мл флакон №1;Аптека №210 от ЦРА №25 Пуховичского района;31.03.2025;3
